,Time,DM,SM,Type,APPID,datset,goID,stNum,sqNum,Data_1,Data_2
530,"May  9, 2019 07:41:32.513999998 UTC",1:00:01,0.926076389,0x88b8,1000,LIED10CTRL/LLN0$Status,LIED10CTRL/LLN0$Status,1,10,1,1
531,"May  9, 2019 07:41:32.514999985 UTC",1:00:01,0.926076389,0x88b8,1000,LIED10PROT/LLN0$Alarm,LIED10PROT/LLN0$Alarm,1,10,FALSE,1
532,"May  9, 2019 07:41:32.516999959 UTC",1:00:01,0.926076389,0x88b8,1000,LIED10MEAS/LLN0$Measurement,LIED10MEAS/LLN0$Measurement,1,10,311,305
533,"May  9, 2019 07:41:30.513999998 UTC",1:00:01,0.926076389,0x88b8,1000,LIED10CTRL/LLN0$Status,LIED10CTRL/LLN0$Status,9999,10,1,1
534,"May  9, 2019 07:41:32.519999980 UTC",1:00:01,0.926064815,0x88b8,1000,LIED11CTRL/LLN0$Status,LIED11CTRL/LLN0$Status,1,10,1,1
535,"May  9, 2019 07:41:32.523999989 UTC",1:00:01,0.926064815,0x88b8,1000,LIED11PROT/LLN0$Alarm,LIED11PROT/LLN0$Alarm,1,10,FALSE,1
536,"May  9, 2019 07:41:32.528999984 UTC",1:00:01,0.926064815,0x88b8,1000,LIED11MEAS/LLN0$Measurement,LIED11MEAS/LLN0$Measurement,1,10,315,310
537,"May  9, 2019 07:41:32.538999974 UTC",1:00:01,0.926053241,0x88b8,1000,LIED12CTRL/LLN0$Status,LIED12CTRL/LLN0$Status,1,10,1,1
538,"May  9, 2019 07:41:32.539999961 UTC",1:00:01,0.926053241,0x88b8,1000,LIED12PROT/LLN0$Alarm,LIED12PROT/LLN0$Alarm,1,10,FALSE,1
539,"May  9, 2019 07:41:32.541999995 UTC",1:00:01,0.926053241,0x88b8,1000,LIED12MEAS/LLN0$Measurement,LIED12MEAS/LLN0$Measurement,1,10,307,306
540,"May  9, 2019 07:41:32.543999969 UTC",1:00:01,0.926041667,0x88b8,1000,LIED20CTRL/LLN0$Status,LIED20CTRL/LLN0$Status,1,10,1,1
541,"May  9, 2019 07:41:32.544999957 UTC",1:00:01,0.926041667,0x88b8,1000,LIED20PROT/LLN0$Alarm,LIED20PROT/LLN0$Alarm,1,10,FALSE,1
542,"May  9, 2019 07:41:32.546999990 UTC",1:00:01,0.926041667,0x88b8,1000,LIED20MEAS/LLN0$Measurement,LIED20MEAS/LLN0$Measurement,1,10,310,314
543,"May  9, 2019 07:41:32.547999978 UTC",1:00:01,0.926030093,0x88b8,1000,LIED21CTRL/LLN0$Status,LIED21CTRL/LLN0$Status,1,10,1,1
544,"May  9, 2019 07:41:32.549999952 UTC",1:00:01,0.926030093,0x88b8,1000,LIED21PROT/LLN0$Alarm,LIED21PROT/LLN0$Alarm,1,10,FALSE,1
545,"May  9, 2019 07:41:32.550999999 UTC",1:00:01,0.926030093,0x88b8,1000,LIED21MEAS/LLN0$Measurement,LIED21MEAS/LLN0$Measurement,1,10,315,306
546,"May  9, 2019 07:41:32.552999973 UTC",1:00:01,0.926018519,0x88b8,1000,LIED22CTRL/LLN0$Status,LIED22CTRL/LLN0$Status,1,10,1,1
547,"May  9, 2019 07:41:32.553999960 UTC",1:00:01,0.926018519,0x88b8,1000,LIED22PROT/LLN0$Alarm,LIED22PROT/LLN0$Alarm,1,10,FALSE,1
548,"May  9, 2019 07:41:32.555999994 UTC",1:00:01,0.926018519,0x88b8,1000,LIED22MEAS/LLN0$Measurement,LIED22MEAS/LLN0$Measurement,1,10,313,314
549,"May  9, 2019 07:41:32.556999981 UTC",1:00:01,0.926006944,0x88b8,1000,TIED13CTRL/LLN0$Status,TIED13CTRL/LLN0$Status,1,10,1,1
550,"May  9, 2019 07:41:32.558999955 UTC",1:00:01,0.926006944,0x88b8,1000,TIED13PROT/LLN0$Alarm,TIED13PROT/LLN0$Alarm,1,10,FALSE,1
